v,"""/min",P.A.
20.9,2.37,122.7
21.7,1.27,26.4
21.3,0.73,313.2
23.3,1.19,310.5
22,0.45,255.1
20.1,2.09,0.9
25,0.68,253.5
28.2,0.96,224.3
27.5,0.65,74.6
20,0.35,309.1
18.5,1.55,194.4
21.2,1.09,222.4
21.5,1.02,325.6
21.2,1.04,303.2
20.3,5.74,262.3
20.8,3.15,192.2
22,1.96,258.3
21.6,3.96,160.7
21,4.73,181.1
18.8,18.41,29
21.2,2.29,157.7
19.7,1.64,356
20.8,6.61,18.4
21,2.28,358.7
21.9,1.27,46
18.2,2.64,164.3
20.7,0.91,17
15.1,132.3,111.3
18.3,9,152.5
21.4,1.2,308.6
21.7,0.79,238.2
21.2,0.86,237.3
22.1,2.99,26.4
20.2,1.24,313.2
20.5,0.38,331.2
21.3,1.39,349.7
21.4,3.56,130.1
20,17.15,17.2
21.3,1.68,331
20.1,2.08,228.2
20.1,5.2,82
19.4,26.72,154.6
19.7,18.9,227.9
20.6,2.68,43.6
21.6,1.81,94.3
21.1,0.77,295
20.2,1.26,324.3
21.7,0.96,223.4
21.2,1.81,300.9
21.3,5.05,303
21.3,1.02,130.2
26.6,6.51,162.5
22.8,0.91,91
24,0.62,221.6
24.1,0.68,103.9
36.5,0.28,105.5
20.9,2.4,122.7
21.7,1.24,24.8
21.1,0.68,343.6
23.4,1.15,311.4
22,0.45,257.1
20.1,2.05,1.8
25,0.63,253.7
28.3,0.99,223.2
27.6,0.66,74.2
20,6.27,68.5
20.4,21.05,45.8
18.1,18.24,162.5
21.2,1.31,307.3
21,14.64,190.1
20.3,1.82,200.3
20.5,11.97,53.6
20.4,1.9,281.6
20.3,1.33,259.5
19.6,20.43,179.2
21,0.87,359.5
21,3.59,82.5
21.2,2.59,94
19.6,7.58,341.6
20.9,1.61,323.8
22.3,2.27,92.1
20.5,0.95,65.2
21.9,3.14,133.9
20.6,0.48,163.6
21.7,1.13,10.3
21.1,1.1,14.5
19.4,2.53,18.8
20.2,1.46,297.8
21.8,5.46,44
21.2,5.66,59.3
20.4,27.13,52.3
19.9,22.66,115.6
20.1,27.88,145.6
21.6,8.71,85.1
20.9,22.51,138.2
20.7,12.19,70.9
19.6,10.67,34.1
19.5,0.5,191.4
20.3,10.72,185.1
21,0.74,19.1
21.5,0.69,9.1
21.3,0.63,351.7
20.8,2.91,119.3
20.1,14.84,283.4
21.3,0.9,60.2
20.1,3.04,325
21.4,0.82,336.7
20.6,2.94,154.4
21.3,6.22,164
21.2,1.69,169.4
21.2,2.73,359.8
21.5,1.1,330
21.2,3.27,194.3
21.5,6.43,180.5
18.7,15.43,78.2
20.2,0.39,336.8
27.4,2.57,159.5
36,0.38,106.1
